央视节目,#genre#
CCTV-1 综合,https://live3.itv.tv/hz.php?id=3661668007$电信
CCTV-2 财经,https://live3.itv.tv/hz.php?id=3661662117$电信
CCTV-3 综艺,https://live3.itv.tv/hz.php?id=3661663915$电信
CCTV-4 中文国际,https://live3.itv.tv/hz.php?id=3661661129$电信
CCTV-5 体育,https://live3.itv.tv/hz.php?id=3661665416$电信
CCTV-6 电影,https://live3.itv.tv/hz.php?id=3661668336$电信
CCTV-7 国防军事,https://live3.itv.tv/hz.php?id=3661669875$电信
CCTV-8 电视剧,https://live3.itv.tv/hz.php?id=3661668631$电信
CCTV-9 纪录,https://live3.itv.tv/hz.php?id=3661662732$电信
CCTV-10 科教,https://live3.itv.tv/hz.php?id=3661663651$电信
CCTV-11 戏曲,https://live3.itv.tv/hz.php?id=3661665282$电信
CCTV-12 社会与法,https://live3.itv.tv/hz.php?id=3661661548$电信
CCTV-13 新闻,https://live3.itv.tv/hz.php?id=3661666648$电信
CCTV-14 少儿,https://live3.itv.tv/hz.php?id=3661668097$电信
CCTV-15 音乐,https://live3.itv.tv/hz.php?id=3661665678$电信
CCTV-16 奥林匹克,http://cmcc.itv.tv/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,https://live3.itv.tv/hz.php?id=3661661145$电信
CCTV-5+ 体育赛事,https://live3.itv.tv/hz.php?id=3661661918$电信
CCTV-4K 超高清,https://live3.itv.tv/hz.php?id=3661666673$电信

CCTV-1 综合,http://cmcc.itv.tv/PLTV/88888888/224/3221226016/index.m3u8$移动
CCTV-2 财经,http://cmcc.itv.tv/PLTV/88888888/224/3221225588/index.m3u8$移动
CCTV-3 综艺,http://cmcc.itv.tv/PLTV/88888888/224/3221226021/index.m3u8$移动
CCTV-4 中文国际,http://cmcc.itv.tv/PLTV/88888888/224/3221226428/index.m3u8$移动
CCTV-5 体育,http://cmcc.itv.tv/PLTV/88888888/224/3221226019/index.m3u8$移动
CCTV-6 电影,http://cmcc.itv.tv/PLTV/88888888/224/3221226010/index.m3u8$移动
CCTV-7 国防军事,http://cmcc.itv.tv/PLTV/88888888/224/3221225733/index.m3u8$移动
CCTV-8 电视剧,http://cmcc.itv.tv/PLTV/88888888/224/3221226008/index.m3u8$移动
CCTV-9 纪录,http://cmcc.itv.tv/PLTV/88888888/224/3221225734/index.m3u8$移动
CCTV-10 科教,http://cmcc.itv.tv/PLTV/88888888/224/3221225730/index.m3u8$移动
CCTV-11 戏曲,http://cmcc.itv.tv/PLTV/88888888/224/3221225597/index.m3u8$移动
CCTV-12 社会与法,http://cmcc.itv.tv/PLTV/88888888/224/3221225731/index.m3u8$移动
CCTV-13 新闻,http://cmcc.itv.tv/PLTV/88888888/224/3221226011/index.m3u8$移动
CCTV-14 少儿,http://cmcc.itv.tv/PLTV/88888888/224/3221225732/index.m3u8$移动
CCTV-15 音乐,http://cmcc.itv.tv/PLTV/88888888/224/3221225601/index.m3u8$移动
CCTV-16 奥林匹克,http://cmcc.itv.tv/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://cmcc.itv.tv/PLTV/88888888/224/3221225765/index.m3u8$移动
CCTV-5+ 体育赛事,http://cmcc.itv.tv/PLTV/88888888/224/3221225603/index.m3u8$移动

CCTV-8K 超高清,

CCTV-1 综合(港),https://hk.itv.tv/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1 综合(港),https://hk.itv.tv/hls/live/2101641/RTHKTV33/master.m3u8

CCTV-6 电影,https://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方源

卫视节目,#genre#
河南卫视,https://live3.itv.tv/hz.php?id=3661667556$电信
浙江卫视,https://live3.itv.tv/hz.php?id=3661665694$电信
湖南卫视,https://live3.itv.tv/hz.php?id=3661663937$电信
江苏卫视,https://live3.itv.tv/hz.php?id=3661665549$电信
安徽卫视,https://live3.itv.tv/hz.php?id=3661664772$电信
北京卫视,https://live3.itv.tv/hz.php?id=3661667771$电信
东方卫视,https://live3.itv.tv/hz.php?id=3661662144$电信
东南卫视,https://live3.itv.tv/hz.php?id=3661665680$电信
广东卫视,https://live3.itv.tv/hz.php?id=3661667929$电信
广西卫视,https://live3.itv.tv/hz.php?id=3661667773$电信
贵州卫视,https://live3.itv.tv/hz.php?id=3661661322$电信
海南卫视,https://live3.itv.tv/hz.php?id=3661661989$电信
河北卫视,https://live3.itv.tv/hz.php?id=3661668792$电信
天津卫视,https://live3.itv.tv/hz.php?id=3661663811$电信
湖北卫视,https://live3.itv.tv/hz.php?id=3661663950$电信
黑龙江卫视,https://live3.itv.tv/hz.php?id=3661664881$电信
吉林卫视,https://live3.itv.tv/hz.php?id=3661662544$电信
辽宁卫视,https://live3.itv.tv/hz.php?id=3661665124$电信
江西卫视,https://live3.itv.tv/hz.php?id=3661667925$电信
山东卫视,https://live3.itv.tv/hz.php?id=3661667609$电信
山西卫视,https://live3.itv.tv/hz.php?id=3661666623$电信
陕西卫视,https://live3.itv.tv/hz.php?id=3661667426$电信
深圳卫视,https://live3.itv.tv/hz.php?id=3661669074$电信
四川卫视,https://live3.itv.tv/hz.php?id=3661662965$电信
重庆卫视,https://live3.itv.tv/hz.php?id=3661663796$电信
云南卫视,https://live3.itv.tv/hz.php?id=3661667147$电信
内蒙古卫视,https://live3.itv.tv/hz.php?id=3661665510$电信
甘肃卫视,https://live3.itv.tv/hz.php?id=3661667480$电信
宁夏卫视,https://live3.itv.tv/hz.php?id=3661664446$电信
西藏卫视,https://live3.itv.tv/hz.php?id=3661666841$电信
新疆卫视,https://live3.itv.tv/hz.php?id=3661669953$电信

河南卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226480/index.m3u8$移动
北京卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225728/index.m3u8$移动
东方卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225735/index.m3u8$移动
重庆卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226409/index.m3u8$移动
天津卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225740/index.m3u8$移动
黑龙江卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226327/index.m3u8$移动
吉林卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226397/index.m3u8$移动
辽宁卫视 ,http://cmcc.itv.tv/PLTV/88888888/224/3221225619/index.m3u8移动
河北卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226406/index.m3u8$移动
山东卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226456/index.m3u8$移动
山西卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225624/index.m3u8$移动
湖北卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225627/index.m3u8$移动
湖南卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225610/index.m3u8$移动
浙江卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225612/index.m3u8$移动
江苏卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225613/index.m3u8$移动
江西卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226344/index.m3u8$移动
安徽卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226391/index.m3u8$移动
广东卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226248/index.m3u8$移动
深圳卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225739/index.m3u8$移动
广西卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226380/index.m3u8$移动
云南卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226444/index.m3u8$移动
贵州卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226474/index.m3u8$移动
四川卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226338/index.m3u8$移动
东南卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226341/index.m3u8$移动
海南卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226465/index.m3u8$移动
内蒙古卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226389/index.m3u8$移动
陕西卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226457/index.m3u8$移动
甘肃卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225633/index.m3u8$移动
宁夏卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225632/index.m3u8$移动
新疆卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225635/index.m3u8$移动
青海卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225628/index.m3u8$移动
西藏卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225638/index.m3u8移动
兵团卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226439/index.m3u8$移动
山东教育卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221225655/index.m3u8$移动
延边卫视,http://cmcc.itv.tv/PLTV/88888888/224/3221226516/index.m3u8$移动
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8$官方源
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8$官方源
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8$官方源
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8$官方源

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$官方源

CETV-1,https://live3.itv.tv/hz.php?id=3661662002$电信

CETV-1,http://cmcc.itv.tv/PLTV/88888888/224/3221225652/index.m3u8$移动
CETV-2,http://cmcc.itv.tv/PLTV/88888888/224/3221226425/index.m3u8$移动
CETV-4,http://cmcc.itv.tv/PLTV/88888888/224/3221225783/index.m3u8$移动

河南节目,#genre#
河南卫视,https://live3.itv.tv/hz.php?id=3661667559$电信4K
河南都市频道,https://live3.itv.tv/hz.php?id=3661666186$电信
河南民生频道,https://live3.itv.tv/hz.php?id=3661666045$电信
河南法治频道,https://live3.itv.tv/hz.php?id=3661666715$电信
河南公共频道,https://live3.itv.tv/hz.php?id=3661664771$电信
河南新闻频道,https://live3.itv.tv/hz.php?id=3661663160$电信
河南电视剧频道,https://live3.itv.tv/hz.php?id=3661667954$电信
河南乡村频道,https://live3.itv.tv/hz.php?id=3661667226$电信
河南戏曲,https://live3.itv.tv/hz.php?id=3661661983$电信
收藏天下,https://live3.itv.tv/hz.php?id=3661665349$电信
中华功夫,https://live3.itv.tv/hz.php?id=3661665846$电信
国学频道,https://live3.itv.tv/hz.php?id=3661661293$电信
河南移动电视,https://live3.itv.tv/hz.php?id=3661667313$电信

河南卫视,https://live.itv.tv/dx.php?id=hnws$官方源
河南都市频道,https://live.itv.tv/dx.php?id=hnds$官方源
河南民生频道,https://live.itv.tv/dx.php?id=hnms$官方源
河南法治频道,https://live.itv.tv/dx.php?id=hmfz$官方源
河南电视剧频道,https://live.itv.tv/dx.php?id=hndsj$官方源
河南新闻频道,https://live.itv.tv/dx.php?id=hnxw$官方源
河南公共频道,https://live.itv.tv/dx.php?id=hngg$官方源
河南乡村频道,https://live.itv.tv/dx.php?id=hnxc$官方源
移动戏曲,https://live.itv.tv/dx.php?id=ydxj$官方源
梨园频道,https://live.itv.tv/dx.php?id=hnly$官方源
梨园戏曲,https://live3.itv.tv/ty.php?ch=lyxq$天翼
文物宝库,https://live.itv.tv/dx.php?id=wwbk$官方源
武术世界,https://live.itv.tv/dx.php?id=wspd$官方源
睛彩中原,https://live.itv.tv/dx.php?id=jczy$官方源
象视界,https://live.itv.tv/dx.php?id=xsj$官方源
国学频道,https://live.itv.tv/dx.php?id=gxpd$官方源
南阳综合,https://live.itv.tv/dx.php?id=ny1$官方源
镇平综合,http://live.dxhmt.cn:9081/tv/11324-1.m3u8
镇平综合,http://tvpull.dxhmt.cn/tv/11324-1.m3u8?wsSecret=&wsTime=

少儿节目,#genre#
金鹰卡通,https://live3.itv.tv/hz.php?id=3661668901$电信
卡酷少儿,https://live3.itv.tv/hz.php?id=3661667797$电信
嘉佳卡通,https://live3.itv.tv/hz.php?id=3661665079$电信
炫动卡通,https://live3.itv.tv/hz.php?id=3661664207$电信
动漫秀场,https://live3.itv.tv/hz.php?id=3661669130$电信
优漫卡通,https://live3.itv.tv/hz.php?id=3661668904$电信

金鹰卡通,http://cmcc.itv.tv/PLTV/88888888/224/3221225653/index.m3u8$移动
哈哈炫动,http://cmcc.itv.tv/PLTV/88888888/224/3221225657/index.m3u8$移动
卡酷少儿,http://cmcc.itv.tv/PLTV/88888888/224/3221225654/index.m3u8$移动
优漫卡通,http://cmcc.itv.tv/PLTV/88888888/224/3221225656/index.m3u8$移动
黑莓动画,http://cmcc.itv.tv/PLTV/88888888/224/3221225662/index.m3u8$移动

电影节目,#genre#
黑莓电影,http://cmcc.itv.tv/PLTV/88888888/224/3221225743/index.m3u8$移动
DX24h轮播,https://live3.itv.tv/ty.php?ch=24hlb$天翼
DX怀旧经典,https://live3.itv.tv/ty.php?ch=hjjd$天翼
DX往昔影院,https://live3.itv.tv/ty.php?ch=wxjc$天翼
DX红色经典,https://live3.itv.tv/ty.php?ch=hsjd$天翼
DX放映厅,https://live3.itv.tv/ty.php?ch=fyt$天翼
童年时光机,https://live3.itv.tv/ty.php?ch=tnsgj$天翼

电视剧轮播,#genre#
DX传奇剧场,https://live3.itv.tv/ty.php?ch=cqjc$天翼
DX热血剧场,https://live3.itv.tv/ty.php?ch=rxjc$天翼
DX硬汉剧场,https://live3.itv.tv/ty.php?ch=yhjc$天翼
DX生活剧场,https://live3.itv.tv/ty.php?ch=shjc$天翼


天气预报,#genre#
tq.itv.tv

数字节目,#genre#
纪实人文,https://live3.itv.tv/hz.php?id=3661661565$电信
金鹰纪实,https://live3.itv.tv/hz.php?id=3661662518$电信
都市剧场,https://live3.itv.tv/hz.php?id=3661666444$电信
