央视节目,#genre#
CCTV-1 综合,http://1.203.77.170:7788/udp/225.1.8.1:8008$北京电信
CCTV-2 财经,http://1.203.77.170:7788/udp/225.1.8.2:8084$北京电信
CCTV-3 综艺,http://1.203.77.170:7788/udp/225.1.8.88:8000$北京电信
CCTV-4 中文国际,http://1.203.77.170:7788/udp/225.1.8.4:8092$北京电信
CCTV-5 体育,http://1.203.77.170:7788/udp/225.1.8.89:8000$北京电信
CCTV-6 电影,http://1.203.77.170:7788/udp/225.1.8.84:8000$北京电信
CCTV-7 国防军事,http://1.203.77.170:7788/udp/225.1.8.7:8104$北京电信
CCTV-8 电视剧,http://1.203.77.170:7788/udp/225.1.8.85:8000$北京电信
CCTV-9 纪录,http://1.203.77.170:7788/udp/225.1.8.9:8112$北京电信
CCTV-10 科教,http://1.203.77.170:7788/udp/225.1.8.10:8116$北京电信
CCTV-11 戏曲,http://1.203.77.170:7788/udp/225.1.8.73:8120$北京电信
CCTV-12 社会与法,http://1.203.77.170:7788/udp/225.1.8.12:8124$北京电信
CCTV-13 新闻,http://1.203.77.170:7788/udp/225.1.8.168:8130$北京电信
CCTV-14 少儿,http://1.203.77.170:7788/udp/225.1.8.14:8132$北京电信
CCTV-15 音乐,http://1.203.77.170:7788/udp/225.1.8.74:8136$北京电信
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://1.203.77.170:7788/udp/225.1.8.17:8144$北京电信
CCTV-5+ 体育赛事,http://1.203.77.170:7788/udp/225.1.8.20:8004$北京电信
CGTN,http://1.203.77.170:7788/udp/225.1.8.116:8056$北京电信

卫视节目,#genre#
河南卫视,http://1.203.77.170:7788/udp/225.1.8.140:8128$北京电信
湖南卫视,http://1.203.77.170:7788/udp/225.1.8.41:8012$北京电信
黑龙江卫视,http://1.203.77.170:7788/udp/225.1.8.42:8016$北京电信
深圳卫视,http://1.203.77.170:7788/udp/225.1.8.43:8020$北京电信
北京卫视,http://1.203.77.170:7788/udp/225.1.8.21:8002$北京电信
江苏卫视,http://1.203.77.170:7788/udp/225.1.8.44:8028$北京电信
东方卫视,http://1.203.77.170:7788/udp/225.1.8.45:8032$北京电信
浙江卫视,http://1.203.77.170:7788/udp/225.1.8.46:8036$北京电信
湖北卫视,http://1.203.77.170:7788/udp/225.1.8.47:8044$北京电信
天津卫视,http://1.203.77.170:7788/udp/225.1.8.48:8044$北京电信
广东卫视,http://1.203.77.170:7788/udp/225.1.8.49:8048$北京电信
山东卫视,http://1.203.77.170:7788/udp/225.1.8.50:8052$北京电信
辽宁卫视,http://1.203.77.170:7788/udp/225.1.8.51:8056$北京电信
安徽卫视,http://1.203.77.170:7788/udp/225.1.8.52:8064$北京电信
河北卫视,http://1.203.77.170:7788/udp/225.1.8.76:8002$北京电信
贵州卫视,http://1.203.77.170:7788/udp/225.1.8.77:8076$北京电信
东南卫视,http://1.203.77.170:7788/udp/225.1.8.79:8148$北京电信
江西卫视,http://1.203.77.170:7788/udp/225.1.8.171:8166$北京电信
重庆卫视,http://1.203.77.170:7788/udp/225.1.8.172:8162$北京电信
三沙卫视,http://1.203.77.170:7788/udp/225.1.8.78:4120$北京电信
CETV-1,http://1.203.77.170:7788/udp/225.1.8.169:4120$北京电信
CETV-2,http://1.203.77.170:7788/udp/225.1.8.193:4120$北京电信
CETV-3,http://1.203.77.170:7788/udp/225.1.8.194:4120$北京电信
CETV-4,http://1.203.77.170:7788/udp/225.1.8.195:4120$北京电信
CETV-1,http://1.203.77.170:7788/udp/225.1.8.32:8152$北京电信

少儿节目,#genre#
金鹰卡通,http://1.203.77.170:7788/udp/225.1.8.163:9252$北京电信
嘉佳卡通,http://1.203.77.170:7788/udp/225.1.8.170:9268$北京电信

电影节目,#genre#
