央视节目,#genre#
CCTV-1 综合,http://123.113.237.79:8888/rtp/239.3.1.129:8008$北京联通
CCTV-2 财经,http://123.113.237.79:8888/rtp/239.3.1.60:8084$北京联通
CCTV-3 综艺,http://123.113.237.79:8888/rtp/239.3.1.172:8001$北京联通
CCTV-4 中文国际,http://123.113.237.79:8888/rtp/239.3.1.105:8092$北京联通
CCTV-5 体育,http://123.113.237.79:8888/rtp/239.3.1.173:8001$北京联通
CCTV-6 电影,http://123.113.237.79:8888/rtp/239.3.1.174:8001$北京联通
CCTV-7 国防军事,http://123.113.237.79:8888/rtp/239.3.1.61:8104$北京联通
CCTV-8 电视剧,http://123.113.237.79:8888/rtp/239.3.1.175:8001$北京联通
CCTV-9 纪录,http://123.113.237.79:8888/rtp/239.3.1.62:8112$北京联通
CCTV-10 科教,http://123.113.237.79:8888/rtp/239.3.1.63:8116$北京联通
CCTV-11 戏曲,http://123.113.237.79:8888/rtp/239.3.1.152:8120$北京联通
CCTV-12 社会与法,http://123.113.237.79:8888/rtp/239.3.1.64:8124$北京联通
CCTV-13 新闻,http://123.113.237.79:8888/rtp/239.3.1.124:8128$北京联通
CCTV-14 少儿,http://123.113.237.79:8888/rtp/239.3.1.65:8132$北京联通
CCTV-15 音乐,http://123.113.237.79:8888/rtp/239.3.1.153:8136$北京联通
CCTV-16 奥林匹克,http://123.113.237.79:8888/rtp/239.3.1.183:8001$北京联通
CCTV-16 奥林匹克,http://123.113.237.79:8888/rtp/239.3.1.184:8001$北京联通
CCTV-17 农业农村,http://123.113.237.79:8888/rtp/239.3.1.151:8144$北京联通
CCTV-5+ 体育赛事,http://123.113.237.79:8888/rtp/239.3.1.130:8004$北京联通
CCTV-4 中文国际 欧洲,http://123.113.237.79:8888/rtp/239.3.1.213:4220$北京联通
CCTV-4 中文国际 美洲,http://123.113.237.79:8888/rtp/239.3.1.214:4220$北京联通
CGTN 新闻,http://123.113.237.79:8888/rtp/239.3.1.215:4220$北京联通
CGTN 记录,http://123.113.237.79:8888/rtp/239.3.1.216:4220$北京联通
CGTN 西班牙语,http://123.113.237.79:8888/rtp/239.3.1.217:4220$北京联通
CGTN 法语,http://123.113.237.79:8888/rtp/239.3.1.218:4220$北京联通
CGTN 阿拉伯语,http://123.113.237.79:8888/rtp/239.3.1.219:4220$北京联通
CGTN 俄语,http://123.113.237.79:8888/rtp/239.3.1.220:4220$北京联通

卫视节目,#genre#
河南卫视,http://123.113.237.79:8888/rtp/239.3.1.27:8128$北京联通
湖南卫视,http://123.113.237.79:8888/rtp/239.3.1.132:8012$北京联通
东方卫视,http://123.113.237.79:8888/rtp/239.3.1.136:8032$北京联通
浙江卫视,http://123.113.237.79:8888/rtp/239.3.1.137:8036$北京联通
北京卫视,http://123.113.237.79:8888/rtp/239.3.1.241:8000$北京联通
江苏卫视,http://123.113.237.79:8888/rtp/239.3.1.135:8028$北京联通
深圳卫视,http://123.113.237.79:8888/rtp/239.3.1.134:8020$北京联通
广东卫视,http://123.113.237.79:8888/rtp/239.3.1.142:8048$北京联通
安徽卫视,http://123.113.237.79:8888/rtp/239.3.1.211:8064$北京联通
天津卫视,http://123.113.237.79:8888/rtp/239.3.1.141:1234$北京联通
重庆卫视,http://123.113.237.79:8888/rtp/239.3.1.122:8160$北京联通
山东卫视,http://123.113.237.79:8888/rtp/239.3.1.209:8052$北京联通
黑龙江卫视,http://123.113.237.79:8888/rtp/239.3.1.133:8016$北京联通
河北卫视,http://123.113.237.79:8888/rtp/239.3.1.148:8072$北京联通
辽宁卫视,http://123.113.237.79:8888/rtp/239.3.1.210:8056$北京联通
湖北卫视,http://123.113.237.79:8888/rtp/239.3.1.138:8044$北京联通
吉林卫视,http://123.113.237.79:8888/rtp/239.3.1.240:8172$北京联通
贵州卫视,http://123.113.237.79:8888/rtp/239.3.1.149:8076$北京联通
东南卫视,http://123.113.237.79:8888/rtp/239.3.1.156:8148$北京联通
江西卫视,http://123.113.237.79:8888/rtp/239.3.1.123:8164$北京联通
海南卫视,http://123.113.237.79:8888/rtp/239.3.1.45:8304$北京联通
云南卫视,http://123.113.237.79:8888/rtp/239.3.1.26:8108$北京联通
兵团卫视,http://123.113.237.79:8888/rtp/239.3.1.144:4120$北京联通
厦门卫视,http://123.113.237.79:8888/rtp/239.3.1.143:4120$北京联通
四川卫视,http://123.113.237.79:8888/rtp/239.3.1.29:8288$北京联通
南方卫视,http://123.113.237.79:8888/rtp/239.3.1.161:8001$北京联通
宁夏卫视,http://123.113.237.79:8888/rtp/239.3.1.46:8124$北京联通
山西卫视,http://123.113.237.79:8888/rtp/239.3.1.42:8172$北京联通
广西卫视,http://123.113.237.79:8888/rtp/239.3.1.39:8300$北京联通
新疆卫视,http://123.113.237.79:8888/rtp/239.3.1.48:8160$北京联通
甘肃卫视,http://123.113.237.79:8888/rtp/239.3.1.49:8188$北京联通
西藏卫视,http://123.113.237.79:8888/rtp/239.3.1.47:8164$北京联通
三沙卫视,http://123.113.237.79:8888/rtp/239.3.1.155:4120$北京联通
陕西卫视,http://123.113.237.79:8888/rtp/239.3.1.41:8140$北京联通
青海卫视,http://123.113.237.79:8888/rtp/239.3.1.44:8184$北京联通
内蒙古卫视,http://123.113.237.79:8888/rtp/239.3.1.43:8176$北京联通
CETV-1,http://123.113.237.79:8888/rtp/239.3.1.57:8152$北京联通
CETV-2,http://123.113.237.79:8888/rtp/239.3.1.54:4120$北京联通
CETV-3,http://123.113.237.79:8888/rtp/239.3.1.55:4120$北京联通
CETV-4,http://123.113.237.79:8888/rtp/239.3.1.56:4120$北京联通

少儿节目,#genre#
金鹰卡通,http://123.113.237.79:8888/rtp/239.3.1.51:9252$北京联通
嘉佳卡通,http://123.113.237.79:8888/rtp/239.3.1.147:9268$北京联通
卡酷少儿,http://123.113.237.79:8888/rtp/239.3.1.189:8000$北京联通

数字节目,#genre#
爱上4K[超清],http://123.113.237.79:8888/rtp/239.3.1.236:2000$北京联通
4K超清[超清],http://123.113.237.79:8888/rtp/239.3.1.249:8001$北京联通
淘电影,http://123.113.237.79:8888/rtp/239.3.1.250:8001$北京联通
每日影院,http://123.113.237.79:8888/# rtp/239.3.1.111:8001$北京联通
星影,http://123.113.237.79:8888/rtp/239.3.1.94:4120$北京联通
动作影院,http://123.113.237.79:8888/rtp/239.3.1.92:4120$北京联通
光影,http://123.113.237.79:8888/rtp/239.3.1.84:4120$北京联通
喜剧影院,http://123.113.237.79:8888/rtp/239.3.1.91:4120$北京联通
家庭影院,http://123.113.237.79:8888/rtp/239.3.1.93:4120$北京联通
精选,http://123.113.237.79:8888/rtp/239.3.1.74:4120$北京联通
经典电影,http://123.113.237.79:8888/rtp/239.3.1.195:9024$北京联通
纪实人文,http://123.113.237.79:8888/rtp/239.3.1.212:8060$北京联通
金鹰纪实,http://123.113.237.79:8888/rtp/239.3.1.58:8156$北京联通
风尚生活,http://123.113.237.79:8888/# rtp/239.3.1.114:8001$北京联通
地理,http://123.113.237.79:8888/rtp/239.3.1.71:4120$北京联通
淘剧场,http://123.113.237.79:8888/rtp/239.3.1.95:8001$北京联通
幸福剧场,http://123.113.237.79:8888/# rtp/239.3.1.112:8001$北京联通
淘娱乐,http://123.113.237.79:8888/rtp/239.3.1.100:8001$北京联通
幸福娱乐,http://123.113.237.79:8888/# rtp/239.3.1.113:8001$北京联通
淘Baby,http://123.113.237.79:8888/rtp/239.3.1.238:8001$北京联通
萌宠TV,http://123.113.237.79:8888/rtp/239.3.1.102:8001$北京联通
中国交通,http://123.113.237.79:8888/rtp/239.3.1.188:8001$北京联通
睛彩竞技,http://123.113.237.79:8888/rtp/239.3.1.125:8001$北京联通
