央视节目,#genre#
CCTV-1 综合,http://117.28.112.210:8888/rtp/239.61.3.61:9884$福建电信
CCTV-2 财经,http://117.28.112.210:8888/rtp/239.61.2.174:9032$福建电信
CCTV-3 综艺,http://117.28.112.210:8888/rtp/239.61.3.34:9722$福建电信
CCTV-4 中文国际,http://117.28.112.210:8888/rtp/239.61.2.206:9224$福建电信
CCTV-5 体育,http://117.28.112.210:8888/rtp/239.61.3.35:9728$福建电信
CCTV-6 电影,http://117.28.112.210:8888/rtp/239.61.3.36:9734$福建电信
CCTV-7 国防军事,http://117.28.112.210:8888/rtp/239.61.2.175:9038$福建电信
CCTV-8 电视剧,http://117.28.112.210:8888/rtp/239.61.3.37:9740$福建电信
CCTV-9 纪录,http://117.28.112.210:8888/rtp/239.61.2.172:9020$福建电信
CCTV-10 科教,http://117.28.112.210:8888/rtp/239.61.2.176:9044$福建电信
CCTV-11 戏曲,http://117.28.112.210:8888/rtp/239.61.2.21:8120$福建电信
CCTV-12 社会与法,http://117.28.112.210:8888/rtp/239.61.2.177:9050$福建电信
CCTV-13 新闻,http://117.28.112.210:8888/rtp/239.61.2.23:8132$福建电信
CCTV-14 少儿,http://117.28.112.210:8888/rtp/239.61.2.178:9056$福建电信
CCTV-15 音乐,http://117.28.112.210:8888/rtp/239.61.2.25:8144$福建电信
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://117.28.112.210:8888/rtp/239.61.3.9:9572$福建电信
CCTV-5+ 体育赛事,http://117.28.112.210:8888/rtp/239.61.2.171:9014$福建电信
CCTV-1 综合,http://117.28.112.210:8888/rtp/239.61.3.60:9878$福建电信
CGTN,http://117.28.112.210:8888/rtp/239.61.2.19:8108$福建电信

卫视节目,#genre#
河南卫视,http://117.28.112.210:8888/rtp/239.61.2.59:8348$福建电信
东方卫视,http://117.28.112.210:8888/rtp/239.61.2.28:8162$福建电信
湖南卫视,http://117.28.112.210:8888/rtp/239.61.2.31:8180$福建电信
江苏卫视,http://117.28.112.210:8888/rtp/239.61.2.30:8174$福建电信
浙江卫视,http://117.28.112.210:8888/rtp/239.61.2.29:8168$福建电信
河北卫视,http://117.28.112.210:8888/rtp/239.61.2.57:8336$福建电信
广东卫视,http://117.28.112.210:8888/rtp/239.61.2.33:8192$福建电信
山东卫视,http://117.28.112.210:8888/rtp/239.61.2.119:8708$福建电信
湖北卫视,http://117.28.112.210:8888/rtp/239.61.2.120:8714$福建电信
深圳卫视,http://117.28.112.210:8888/rtp/239.61.3.46:9794$福建电信
黑龙江卫视,http://117.28.112.210:8888/rtp/239.61.2.34:8198$福建电信
贵州卫视,http://117.28.112.210:8888/rtp/239.61.2.159:8942$福建电信
安徽卫视,http://117.28.112.210:8888/rtp/239.61.2.248:9476$福建电信
天津卫视,http://117.28.112.210:8888/rtp/239.61.2.180:9068$福建电信
四川卫视,http://117.28.112.210:8888/rtp/239.61.2.251:9494$福建电信
江西卫视,http://117.28.112.210:8888/rtp/239.61.2.182:9080$福建电信
辽宁卫视,http://117.28.112.210:8888/rtp/239.61.2.181:9074$福建电信
重庆卫视,http://117.28.112.210:8888/rtp/239.61.2.250:9488$福建电信
北京卫视,http://117.28.112.210:8888/rtp/239.61.2.32:8186$福建电信
云南卫视,http://117.28.112.210:8888/rtp/239.61.2.61:8360$福建电信
东南卫视,http://117.28.112.210:8888/rtp/239.61.2.132:8708$福建电信
海南卫视,http://117.28.112.210:8888/rtp/239.61.2.42:8246$福建电信
广西卫视,http://117.28.112.210:8888/rtp/239.61.2.48:8282$福建电信
陕西卫视,http://117.28.112.210:8888/rtp/239.61.2.38:8222$福建电信
青海卫视,http://117.28.112.210:8888/rtp/239.61.2.60:8354$福建电信
宁夏卫视,http://117.28.112.210:8888/rtp/239.61.2.56:8330$福建电信
吉林卫视,http://117.28.112.210:8888/rtp/239.61.2.223:9326$福建电信
山西卫视,http://117.28.112.210:8888/rtp/239.61.2.224:9332$福建电信
甘肃卫视,http://117.28.112.210:8888/rtp/239.61.2.225:9338$福建电信
内蒙古卫视,http://117.28.112.210:8888/rtp/239.61.2.226:9344$福建电信
新疆卫视,http://117.28.112.210:8888/rtp/239.61.2.227:9350$福建电信
兵团卫视,http://117.28.112.210:8888/rtp/239.61.2.228:9356$福建电信
西藏卫视,http://117.28.112.210:8888/rtp/239.61.2.229:9362$福建电信
大湾区卫视,http://117.28.112.210:8888/rtp/239.61.3.5:9548$福建电信
三沙卫视,http://117.28.112.210:8888/rtp/239.61.3.10:9578$福建电信
海峡卫视,http://117.28.112.210:8888/rtp/239.61.2.151:8894$福建电信
厦门卫视,http://117.28.112.210:8888/rtp/239.61.2.11:8060$福建电信
CETV-1,http://117.28.112.210:8888/rtp/239.61.2.167:8990$福建电信
CETV-2,http://117.28.112.210:8888/rtp/239.61.3.6:9554$福建电信
CETV-4,http://117.28.112.210:8888/rtp/239.61.3.15:9608$福建电信

少儿节目,#genre#
金鹰卡通,http://117.28.112.210:8888/rtp/239.61.2.221:9314$福建电信
卡酷少儿,http://117.28.112.210:8888/rtp/239.61.2.222:9320$福建电信
哈哈炫动,http://117.28.112.210:8888/rtp/239.61.2.70:8414$福建电信
动漫秀场,http://117.28.112.210:8888/rtp/239.61.2.148:8876$福建电信
嘉佳卡通,http://117.28.112.210:8888/rtp/239.61.2.72:8426$福建电信
新动漫,http://117.28.112.210:8888/rtp/239.61.3.18:9628$福建电信

电影节目,#genre#
CHC动作电影,http://117.28.112.210:8888/rtp/239.61.3.16:9616$福建电信

数字节目,#genre#
凤凰卫视资讯台,http://117.28.112.210:8888/rtp/239.61.2.183:9086$福建电信
凤凰卫视中文台,http://117.28.112.210:8888/rtp/239.61.2.184:9092$福建电信
纪实人文,http://117.28.112.210:8888/rtp/239.61.2.165:8978$福建电信
中国气像,http://117.28.112.210:8888/rtp/239.61.2.64:8378$福建电信
金鹰纪实,http://117.28.112.210:8888/rtp/239.61.3.7:9560$福建电信
欢笑剧场,http://117.28.112.210:8888/rtp/239.61.2.146:8864$福建电信
都市剧场,http://117.28.112.210:8888/rtp/239.61.2.149:8882$福建电信
游戏风云,http://117.28.112.210:8888/rtp/239.61.2.145:8858$福建电信
乐游,http://117.28.112.210:8888/rtp/239.61.2.147:8870$福建电信
法治天地,http://117.28.112.210:8888/rtp/239.61.2.75:8444$福建电信
东方财经,http://117.28.112.210:8888/rtp/239.61.2.76:8450$福建电信
金色学堂,http://117.28.112.210:8888/rtp/239.61.2.78:8462$福建电信
快乐垂钓,http://117.28.112.210:8888/rtp/239.61.3.8:9566$福建电信
生活时尚,http://117.28.112.210:8888/rtp/239.61.2.141:8834$福建电信
中华特产,http://117.28.112.210:8888/rtp/239.61.3.72:9950$福建电信
车迷频道,http://117.28.112.210:8888/rtp/239.61.3.64:9902$福建电信
优优宝贝,http://117.28.112.210:8888/rtp/239.61.3.70:9938$福建电信
环球旅游,http://117.28.112.210:8888/rtp/239.61.3.66:9914$福建电信
生态环境,http://117.28.112.210:8888/rtp/239.61.3.68:9926$福建电信
百姓健康,http://117.28.112.210:8888/rtp/239.61.3.62:9890$福建电信
四海钓鱼,http://117.28.112.210:8888/rtp/239.61.3.69:9932$福建电信
家庭理财,http://117.28.112.210:8888/rtp/239.61.3.67:9920$福建电信
财富天下,http://117.28.112.210:8888/rtp/239.61.3.63:9896$福建电信
证券服务,http://117.28.112.210:8888/rtp/239.61.3.71:9944$福建电信
先锋乒羽,http://117.28.112.210:8888/rtp/239.61.3.17:9622$福建电信
茶频道,http://117.28.112.210:8888/rtp/239.61.3.59:9872$福建电信
梨园频道,http://117.28.112.210:8888/rtp/239.61.3.19:9634$福建电信
文物宝库,http://117.28.112.210:8888/rtp/239.61.3.21:9646$福建电信
武术世界,http://117.28.112.210:8888/rtp/239.61.3.22:9652$福建电信
中学生,http://117.28.112.210:8888/rtp/239.61.3.73:9956$福建电信
发现之旅,http://117.28.112.210:8888/rtp/239.61.3.74:9962$福建电信
