河南节目,#genre#
河南IPTV导视,http://125.41.207.20:8888/rtp/225.1.4.194:1244$河南联通
河南卫视,http://125.41.207.20:8888/rtp/225.1.4.51:1080$河南联通
河南都市频道,http://125.41.207.20:8888/rtp/225.1.4.52:1081$河南联通HD
河南民生频道,http://125.41.207.20:8888/rtp/225.1.4.53:1082$河南联通
河南法治频道,http://125.41.207.20:8888/rtp/225.1.4.54:1083$河南联通
河南电视剧频道,http://125.41.207.20:8888/rtp/225.1.4.55:1084$河南联通HD
河南新闻频道,http://125.41.207.20:8888/rtp/225.1.4.56:1085$河南联通
河南公共频道,http://125.41.207.20:8888/rtp/225.1.4.58:1087$河南联通HD
河南乡村频道,http://125.41.207.20:8888/rtp/225.1.4.120:1149$河南联通
河南国际频道,http://125.41.207.20:8888/rtp/225.1.4.102:1131$河南联通
河南移动电视,http://125.41.207.20:8888/rtp/225.1.5.40:1350$河南联通
河南睛彩中原,http://125.41.207.20:8888/rtp/225.1.4.163:1203$河南联通
河南移动戏曲,http://125.41.207.20:8888/rtp/225.1.4.206:1254$河南联通
河南戏曲,http://125.41.207.20:8888/rtp/225.1.4.99:1128$河南联通
收藏天下,http://125.41.207.20:8888/rtp/225.1.4.100:1129$河南联通
中华功夫,http://125.41.207.20:8888/rtp/225.1.4.101:1130$河南联通
国学频道,http://125.41.207.20:8888/rtp/225.1.4.196:1311$河南联通
大象新闻,http://125.41.207.20:8888/rtp/225.1.5.45:1355$河南联通
现场直播,http://125.41.207.20:8888/rtp/225.1.5.42:1352$河南联通
