央视节目,#genre#
CCTV-1 综合,http://qhdrive.mi4.xyz:8888/udp/239.76.245.51:1234$湖南电信
CCTV-1 综合,http://qhdrive.mi4.xyz:8888/udp/239.76.246.151:1234$湖南电信
CCTV-2 财经,http://qhdrive.mi4.xyz:8888/udp/239.76.246.152:1234$湖南电信
CCTV-3 综艺,http://qhdrive.mi4.xyz:8888/udp/239.76.246.153:1234$湖南电信
CCTV-4 中文国际,http://qhdrive.mi4.xyz:8888/udp/239.76.245.195:1234$湖南电信
CCTV-4 中文国际,http://qhdrive.mi4.xyz:8888/udp/239.76.246.154:1234$湖南电信
CCTV-5 体育,http://qhdrive.mi4.xyz:8888/udp/239.76.246.155:1234$湖南电信
CCTV-6 电影,http://qhdrive.mi4.xyz:8888/udp/239.76.246.156:1234$湖南电信
CCTV-7 国防军事,http://qhdrive.mi4.xyz:8888/udp/239.76.246.157:1234$湖南电信
CCTV-8 电视剧,http://qhdrive.mi4.xyz:8888/udp/239.76.246.158:1234$湖南电信
CCTV-9 纪录,http://qhdrive.mi4.xyz:8888/udp/239.76.246.159:1234$湖南电信
CCTV-10 科教,http://qhdrive.mi4.xyz:8888/udp/239.76.246.160:1234$湖南电信
CCTV-11 戏曲,http://qhdrive.mi4.xyz:8888/udp/239.76.245.251:1234$湖南电信
CCTV-12 社会与法,http://qhdrive.mi4.xyz:8888/udp/239.76.246.162:1234$湖南电信
CCTV-13 新闻,http://qhdrive.mi4.xyz:8888/udp/239.76.246.93:1234$湖南电信
CCTV-14 少儿,http://qhdrive.mi4.xyz:8888/udp/239.76.246.164:1234$湖南电信
CCTV-15 音乐,http://qhdrive.mi4.xyz:8888/udp/239.76.245.252:1234$湖南电信
CCTV-16 奥林匹克,http://qhdrive.mi4.xyz:8888/udp/239.76.246.98:1234$湖南电信
CCTV-17 农业农村,http://qhdrive.mi4.xyz:8888/udp/239.76.245.238:1234$湖南电信
CCTV-5+ 体育赛事,http://qhdrive.mi4.xyz:8888/udp/239.76.246.168:1234$湖南电信
CCTV-16 奥林匹克,http://qhdrive.mi4.xyz:8888/udp/239.76.246.214:1234$湖南电信4K
CCTV-16 奥林匹克,http://qhdrive.mi4.xyz:8888/udp/239.76.246.224:1234$湖南电信4K
CCTV-16 奥林匹克,http://qhdrive.mi4.xyz:8888/udp/239.76.246.230:1234$湖南电信4kHDR
CCTV-4 中文国际 欧洲,http://qhdrive.mi4.xyz:8888/udp/239.76.246.95:1234$湖南电信
CCTV-4 中文国际 美洲,http://qhdrive.mi4.xyz:8888/udp/239.76.246.96:1234$湖南电信

CCTV-怀旧剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.254.53:9000$湖南电信
CCTV-第一剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.254.49:9000$湖南电信
CCTV-风云足球,http://qhdrive.mi4.xyz:8888/udp/239.76.254.52:9000$湖南电信
CCTV-风云音乐,http://qhdrive.mi4.xyz:8888/udp/239.76.254.51:9000$湖南电信
CCTV-风云剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.254.50:9000$湖南电信
CCTV-女性时尚,http://qhdrive.mi4.xyz:8888/udp/239.76.254.55:9000$湖南电信
CCTV-世界地理,http://qhdrive.mi4.xyz:8888/udp/239.76.254.57:9000$湖南电信
CCTV-兵器科技,http://qhdrive.mi4.xyz:8888/udp/239.76.254.59:9000$湖南电信
CCTV-央视台球,http://qhdrive.mi4.xyz:8888/udp/239.76.254.58:9000$湖南电信
CCTV-电视指南,http://qhdrive.mi4.xyz:8888/udp/239.76.254.61:9000$湖南电信
CCTV-高尔夫网球,http://qhdrive.mi4.xyz:8888/udp/239.76.254.62:9000$湖南电信
CCTV-央视文化精品,http://qhdrive.mi4.xyz:8888/udp/239.76.254.56:9000$湖南电信

卫视节目,#genre#
河南卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.202:1234$湖南电信
湖南卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.101:1234$湖南电信
广东卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.189:1234$湖南电信
东南卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.190:1234$湖南电信
安徽卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.196:1234$湖南电信
辽宁卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.197:1234$湖南电信
江西卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.225:1234$湖南电信
河北卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.199:1234$湖南电信
贵州卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.245.198:1234$湖南电信
江苏卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.181:1234$湖南电信
东方卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.186:1234$湖南电信
浙江卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.182:1234$湖南电信
北京卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.184:1234$湖南电信
天津卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.185:1234$湖南电信
深圳卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.188:1234$湖南电信
湖北卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.193:1234$湖南电信
山东卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.195:1234$湖南电信
黑龙江卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.200:1234$湖南电信
吉林卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.201:1234$湖南电信
海南卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.203:1234$湖南电信
四川卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.91:1234$湖南电信
重庆卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.92:1234$湖南电信
甘肃卫视,http://qhdrive.mi4.xyz:8888/udp/239.76.246.94:1234$湖南电信
CETV-1,http://qhdrive.mi4.xyz:8888/udp/239.76.245.192:1234$湖南电信

少儿节目,#genre#
金鹰卡通,http://qhdrive.mi4.xyz:8888/udp/239.76.253.107:9000$湖南电信

电影节目,#genre#
CHC动作电影,http://qhdrive.mi4.xyz:8888/udp/239.76.245.243:1234$湖南电信
CHC影迷电影,http://qhdrive.mi4.xyz:8888/udp/239.76.245.242:1234$湖南电信
CHC家庭影院,http://qhdrive.mi4.xyz:8888/udp/239.76.245.241:1234$湖南电信

数字节目,#genre#
凤凰卫视中文台,http://qhdrive.mi4.xyz:8888/udp/239.76.246.134:1234$湖南电信
凤凰卫视中文台,http://qhdrive.mi4.xyz:8888/udp/239.76.253.135:9000$湖南电信
凤凰卫视资讯台,http://qhdrive.mi4.xyz:8888/udp/239.76.253.134:9000$湖南电信
凤凰卫视资讯台,http://qhdrive.mi4.xyz:8888/udp/239.76.246.135:1234$湖南电信
凤凰卫视中文台,http://qhdrive.mi4.xyz:8888/udp/239.76.253.135:9000$湖南电信
凤凰卫视资讯台,http://qhdrive.mi4.xyz:8888/udp/239.76.253.134:9000$湖南电信

IPTV高清院线,http://qhdrive.mi4.xyz:8888/udp/239.76.252.217:9000$湖南电信
IPTV抗战剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.252.218:9000$湖南电信
IPTV古装剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.252.219:9000$湖南电信
IPTV经典剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.252.221:9000$湖南电信
IPTV家庭剧场,http://qhdrive.mi4.xyz:8888/udp/239.76.252.220:9000$湖南电信
