央视节目,#genre#
CCTV-1 综合,http://117.13.24.68:8888/udp/225.1.1.120:5002$天津联通
CCTV-2 财经,http://117.13.24.68:8888/udp/225.1.1.133:5002$天津联通
CCTV-3 综艺,http://117.13.24.68:8888/udp/225.1.1.158:5002$天津联通
CCTV-4 中文国际,http://117.13.24.68:8888/udp/225.1.1.150:5002$天津联通
CCTV-5 体育,http://117.13.24.68:8888/udp/225.1.1.160:5002$天津联通
CCTV-6 电影,http://117.13.24.68:8888/udp/225.1.1.195:5002$天津联通
CCTV-7 国防军事,http://117.13.24.68:8888/udp/225.1.1.138:5002$天津联通
CCTV-8 电视剧,http://117.13.24.68:8888/udp/225.1.1.196:5002$天津联通
CCTV-9 纪录,http://117.13.24.68:8888/udp/225.1.1.119:5002$天津联通
CCTV-10 科教,http://117.13.24.68:8888/udp/225.1.1.140:5002$天津联通
CCTV-11 戏曲,http://117.13.24.68:8888/udp/225.1.2.192:5002$天津联通
CCTV-12 社会与法,http://117.13.24.68:8888/udp/225.1.1.142:5002$天津联通
CCTV-13 新闻,http://117.13.24.68:8888/udp/225.1.2.193:5002$天津联通
CCTV-14 少儿,http://117.13.24.68:8888/udp/225.1.1.144:5002$天津联通
CCTV-15 音乐,http://117.13.24.68:8888/udp/225.1.2.194:5002$天津联通
CCTV-16 奥林匹克,http://117.13.24.68:8888/udp/225.1.2.237:5002$天津联通
CCTV-17 农业农村,http://117.13.24.68:8888/udp/225.1.2.52:5002$天津联通
CCTV-5+ 体育赛事,http://117.13.24.68:8888/udp/225.1.1.121:5002$天津联通
CCTV-兵器科技,http://117.13.24.68:8888/udp/225.1.2.166:5002$天津联通
CCTV-第一剧场,http://117.13.24.68:8888/udp/225.1.2.175:5002$天津联通
CCTV-电视指南,http://117.13.24.68:8888/udp/225.1.2.167:5002$天津联通
CCTV-风云剧场,http://117.13.24.68:8888/udp/225.1.2.174:5002$天津联通
CCTV-风云音乐,http://117.13.24.68:8888/udp/225.1.2.176:5002$天津联通
CCTV-风云足球,http://117.13.24.68:8888/udp/225.1.2.168:5002$天津联通
CCTV-高尔夫网球,http://117.13.24.68:8888/udp/225.1.2.169:5002$天津联通
CCTV-怀旧剧场,http://117.13.24.68:8888/udp/225.1.2.173:5002$天津联通
CCTV-女性时尚,http://117.13.24.68:8888/udp/225.1.2.172:5002$天津联通
CCTV-世界地理,http://117.13.24.68:8888/udp/225.1.2.171:5002$天津联通
CCTV-央视文化精品,http://117.13.24.68:8888/udp/225.1.2.177:5002$天津联通
CCTV-央视台球,http://117.13.24.68:8888/udp/225.1.2.170:5002$天津联通

卫视节目,#genre#
河南卫视,http://117.13.24.68:8888/udp/225.1.2.61:5002$天津联通
安徽卫视,http://117.13.24.68:8888/udp/225.1.1.127:5002$天津联通
北京卫视,http://117.13.24.68:8888/udp/225.1.1.113:5002$天津联通
东方卫视,http://117.13.24.68:8888/udp/225.1.2.31:5002$天津联通
