央视节目,#genre#
CCTV-1 综合,http://115.193.188.83:8888/rtp/233.50.201.118:5140$浙江电信
CCTV-2 财经,http://115.193.188.83:8888/rtp/233.50.201.119:5140$浙江电信
CCTV-3 综艺,http://115.193.188.83:8888/rtp/233.50.201.196:5140$浙江电信
CCTV-4 中文国际,http://115.193.188.83:8888/rtp/233.50.201.4:5140$浙江电信
CCTV-5 体育,http://115.193.188.83:8888/rtp/233.50.201.197:5140$浙江电信
CCTV-6 电影,http://115.193.188.83:8888/rtp/233.50.201.198:5140$浙江电信
CCTV-7 国防军事,http://115.193.188.83:8888/rtp/233.50.201.120:5140$浙江电信
CCTV-8 电视剧,http://115.193.188.83:8888/rtp/233.50.201.199:5140$浙江电信
CCTV-9 纪录,http://115.193.188.83:8888/rtp/233.50.201.121:5140$浙江电信
CCTV-10 科教,http://115.193.188.83:8888/rtp/233.50.201.122:5140$浙江电信
CCTV-11 戏曲,http://115.193.188.83:8888/rtp/233.50.201.11:5140$浙江电信
CCTV-12 社会与法,http://115.193.188.83:8888/rtp/233.50.201.123:5140$浙江电信
CCTV-13 新闻,http://115.193.188.83:8888/rtp/233.50.201.246:5140$浙江电信
CCTV-14 少儿,http://115.193.188.83:8888/rtp/233.50.201.124:5140$浙江电信
CCTV-15 音乐,http://115.193.188.83:8888/rtp/233.50.201.15:5140$浙江电信
CCTV-16 奥林匹克,http://115.193.188.83:8888/rtp/233.50.201.63:5140$浙江电信4K
CCTV-16 奥林匹克,http://115.193.188.83:8888/rtp/233.50.201.192:5140$浙江电信
CCTV-17 农业农村,http://115.193.188.83:8888/rtp/233.50.201.35:5140$浙江电信
CCTV-5+ 体育赛事,http://115.193.188.83:8888/rtp/233.50.201.220:5140$浙江电信

卫视节目,#genre#
浙江卫视,http://115.193.188.83:8888/rtp/233.50.201.100:5140$浙江电信
深圳卫视,http://115.193.188.83:8888/rtp/233.50.201.101:5140$浙江电信
广东卫视,http://115.193.188.83:8888/rtp/233.50.201.102:5140$浙江电信
湖南卫视,http://115.193.188.83:8888/rtp/233.50.201.103:5140$浙江电信
天津卫视,http://115.193.188.83:8888/rtp/233.50.201.104:5140$浙江电信
山东卫视,http://115.193.188.83:8888/rtp/233.50.201.105:5140$浙江电信
江苏卫视,http://115.193.188.83:8888/rtp/233.50.201.106:5140$浙江电信
北京卫视,http://115.193.188.83:8888/rtp/233.50.201.107:5140$浙江电信
四川卫视,http://115.193.188.83:8888/rtp/233.50.201.139:5140$浙江电信
河北卫视,http://115.193.188.83:8888/rtp/233.50.201.140:5140$浙江电信
辽宁卫视,http://115.193.188.83:8888/rtp/233.50.201.141:5140$浙江电信
贵州卫视,http://115.193.188.83:8888/rtp/233.50.201.142:5140$浙江电信
重庆卫视,http://115.193.188.83:8888/rtp/233.50.201.143:5140$浙江电信
河南卫视,http://115.193.188.83:8888/rtp/233.50.201.144:5140$浙江电信
江西卫视,http://115.193.188.83:8888/rtp/233.50.201.145:5140$浙江电信
东南卫视,http://115.193.188.83:8888/rtp/233.50.201.146:5140$浙江电信
安徽卫视,http://115.193.188.83:8888/rtp/233.50.201.113:5140$浙江电信
湖北卫视,http://115.193.188.83:8888/rtp/233.50.201.114:5140$浙江电信
黑龙江卫视,http://115.193.188.83:8888/rtp/233.50.201.115:5140$浙江电信
东方卫视,http://115.193.188.83:8888/rtp/233.50.201.125:5140$浙江电信
内蒙古卫视,http://115.193.188.83:8888/rtp/233.50.201.148:5140$浙江电信
甘肃卫视,http://115.193.188.83:8888/rtp/233.50.201.149:5140$浙江电信
海南卫视,http://115.193.188.83:8888/rtp/233.50.201.55:5140$浙江电信
青海卫视,http://115.193.188.83:8888/rtp/233.50.201.65:5140$浙江电信
西藏卫视,http://115.193.188.83:8888/rtp/233.50.201.70:5140$浙江电信
陕西卫视,http://115.193.188.83:8888/rtp/233.50.201.59:5140$浙江电信
兵团卫视,http://115.193.188.83:8888/rtp/233.50.201.72:5140$浙江电信
山西卫视,http://115.193.188.83:8888/rtp/233.50.201.51:5140$浙江电信
宁夏卫视,http://115.193.188.83:8888/rtp/233.50.201.57:5140$浙江电信
广西卫视,http://115.193.188.83:8888/rtp/233.50.201.49:5140$浙江电信
