央视节目,#genre#
CCTV-1 综合,http://cmcc.itv.tv/PLTV/88888888/224/3221226016/index.m3u8$移动
CCTV-2 财经,http://cmcc.itv.tv/PLTV/88888888/224/3221225588/index.m3u8$移动
CCTV-3 综艺,http://cmcc.itv.tv/PLTV/88888888/224/3221226021/index.m3u8$移动
CCTV-4 中文国际,http://cmcc.itv.tv/PLTV/88888888/224/3221226428/index.m3u8$移动
CCTV-5 体育,http://cmcc.itv.tv/PLTV/88888888/224/3221226019/index.m3u8$移动
CCTV-6 电影,http://cmcc.itv.tv/PLTV/88888888/224/3221226010/index.m3u8$移动
CCTV-7 国防军事,http://cmcc.itv.tv/PLTV/88888888/224/3221225733/index.m3u8$移动
CCTV-8 电视剧,http://cmcc.itv.tv/PLTV/88888888/224/3221226008/index.m3u8$移动
CCTV-9 纪录,http://cmcc.itv.tv/PLTV/88888888/224/3221225734/index.m3u8$移动
CCTV-10 科教,http://cmcc.itv.tv/PLTV/88888888/224/3221225730/index.m3u8$移动
CCTV-11 戏曲,http://cmcc.itv.tv/PLTV/88888888/224/3221225597/index.m3u8$移动
CCTV-12 社会与法,http://cmcc.itv.tv/PLTV/88888888/224/3221225731/index.m3u8$移动
CCTV-13 新闻,http://cmcc.itv.tv/PLTV/88888888/224/3221226011/index.m3u8$移动
CCTV-14 少儿,http://cmcc.itv.tv/PLTV/88888888/224/3221225732/index.m3u8$移动
CCTV-15 音乐,http://cmcc.itv.tv/PLTV/88888888/224/3221225601/index.m3u8$移动
CCTV-16 奥林匹克,http://cmcc.itv.tv/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://cmcc.itv.tv/PLTV/88888888/224/3221225765/index.m3u8$移动
CCTV-5+ 体育赛事,http://cmcc.itv.tv/PLTV/88888888/224/3221225603/index.m3u8$移动
CCTV-1 综合(港),https://hk.itv.tv/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1 综合(港),https://hk.itv.tv/hls/live/2101641/RTHKTV33/master.m3u8
CCTV-6 电影,https://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方源
CCTV-4K 超高清,
CCTV-8K 超高清,
CCTV-1 综合,http://123.113.238.233:8888/rtp/239.3.1.129:8008$北京联通
CCTV-2 财经,http://123.113.238.233:8888/rtp/239.3.1.60:8084$北京联通
CCTV-3 综艺,http://123.113.238.233:8888/rtp/239.3.1.172:8001$北京联通
CCTV-4 中文国际,http://123.113.238.233:8888/rtp/239.3.1.105:8092$北京联通
CCTV-5 体育,http://123.113.238.233:8888/rtp/239.3.1.173:8001$北京联通
CCTV-6 电影,http://123.113.238.233:8888/rtp/239.3.1.174:8001$北京联通
CCTV-7 国防军事,http://123.113.238.233:8888/rtp/239.3.1.61:8104$北京联通
CCTV-8 电视剧,http://123.113.238.233:8888/rtp/239.3.1.175:8001$北京联通
CCTV-9 纪录,http://123.113.238.233:8888/rtp/239.3.1.62:8112$北京联通
CCTV-10 科教,http://123.113.238.233:8888/rtp/239.3.1.63:8116$北京联通
CCTV-11 戏曲,http://123.113.238.233:8888/rtp/239.3.1.152:8120$北京联通
CCTV-12 社会与法,http://123.113.238.233:8888/rtp/239.3.1.64:8124$北京联通
CCTV-13 新闻,http://123.113.238.233:8888/rtp/239.3.1.124:8128$北京联通
CCTV-14 少儿,http://123.113.238.233:8888/rtp/239.3.1.65:8132$北京联通
CCTV-15 音乐,http://123.113.238.233:8888/rtp/239.3.1.153:8136$北京联通
CCTV-16 奥林匹克,http://123.113.238.233:8888/rtp/239.3.1.184:8001$北京联通
CCTV-17 农业农村,http://123.113.238.233:8888/rtp/239.3.1.151:8144$北京联通
CCTV-5+ 体育赛事,http://123.113.238.233:8888/rtp/239.3.1.130:8004$北京联通
CCTV-4 中文国际 欧洲,http://123.113.238.233:8888/rtp/239.3.1.213:4220$北京联通
CCTV-4 中文国际 美洲,http://123.113.238.233:8888/rtp/239.3.1.214:4220$北京联通
CCTV-1 综合,http://123.113.236.69:8012/rtp/239.3.1.129:8008$北京联通
CCTV-2 财经,http://123.113.236.69:8012/rtp/239.3.1.60:8084$北京联通
CCTV-3 综艺,http://123.113.236.69:8012/rtp/239.3.1.172:8001$北京联通
CCTV-4 中文国际,http://123.113.236.69:8012/rtp/239.3.1.105:8092$北京联通
CCTV-5 体育,http://123.113.236.69:8012/rtp/239.3.1.173:8001$北京联通
CCTV-6 电影,http://123.113.236.69:8012/rtp/239.3.1.174:8001$北京联通
CCTV-7 国防军事,http://123.113.236.69:8012/rtp/239.3.1.61:8104$北京联通
CCTV-8 电视剧,http://123.113.236.69:8012/rtp/239.3.1.175:8001$北京联通
CCTV-9 纪录,http://123.113.236.69:8012/rtp/239.3.1.62:8112$北京联通
CCTV-10 科教,http://123.113.236.69:8012/rtp/239.3.1.63:8116$北京联通
CCTV-11 戏曲,http://123.113.236.69:8012/rtp/239.3.1.152:8120$北京联通
CCTV-12 社会与法,http://123.113.236.69:8012/rtp/239.3.1.64:8124$北京联通
CCTV-13 新闻,http://123.113.236.69:8012/rtp/239.3.1.124:8128$北京联通
CCTV-14 少儿,http://123.113.236.69:8012/rtp/239.3.1.65:8132$北京联通
CCTV-15 音乐,http://123.113.236.69:8012/rtp/239.3.1.153:8136$北京联通
CCTV-16 奥林匹克,http://123.113.236.69:8012/rtp/239.3.1.184:8001$北京联通
CCTV-17 农业农村,http://123.113.236.69:8012/rtp/239.3.1.151:8144$北京联通
CCTV-5+ 体育赛事,http://123.113.236.69:8012/rtp/239.3.1.130:8004$北京联通
CCTV-4 中文国际 欧洲,http://123.113.236.69:8012/rtp/239.3.1.213:4220$北京联通
CCTV-4 中文国际 美洲,http://123.113.236.69:8012/rtp/239.3.1.214:4220$北京联通
CCTV-第一剧场,http://36.47.83.11:8010/rtp/239.111.205.65:5140$陕西电信
CCTV-风云剧场,http://36.47.83.11:8010/rtp/239.111.205.66:5140$陕西电信
CCTV-怀旧剧场,http://36.47.83.11:8010/rtp/239.111.205.67:5140$陕西电信
CCTV-风云足球,http://36.47.83.11:8010/rtp/239.111.205.68:5140$陕西电信
CCTV-风云音乐,http://36.47.83.11:8010/rtp/239.111.205.69:5140$陕西电信
CCTV-央视台球,http://36.47.83.11:8010/rtp/239.111.205.70:5140$陕西电信
CCTV-世界地理,http://36.47.83.11:8010/rtp/239.111.205.71:5140$陕西电信
CCTV-女性时尚,http://36.47.83.11:8010/rtp/239.111.205.72:5140$陕西电信
CCTV-高尔夫网球,http://36.47.83.11:8010/rtp/239.111.205.73:5140$陕西电信
CCTV-兵器科技,http://36.47.83.11:8010/rtp/239.111.205.74:5140$陕西电信
CCTV-央视文化精品,http://36.47.83.11:8010/rtp/239.111.205.75:5140$陕西电信
CCTV-第一剧场,http://36.47.83.11:8014/rtp/239.111.205.65:5140$陕西电信
CCTV-风云剧场,http://36.47.83.11:8014/rtp/239.111.205.66:5140$陕西电信
CCTV-怀旧剧场,http://36.47.83.11:8014/rtp/239.111.205.67:5140$陕西电信
CCTV-风云足球,http://36.47.83.11:8014/rtp/239.111.205.68:5140$陕西电信
CCTV-风云音乐,http://36.47.83.11:8014/rtp/239.111.205.69:5140$陕西电信
CCTV-央视台球,http://36.47.83.11:8014/rtp/239.111.205.70:5140$陕西电信
CCTV-世界地理,http://36.47.83.11:8014/rtp/239.111.205.71:5140$陕西电信
CCTV-女性时尚,http://36.47.83.11:8014/rtp/239.111.205.72:5140$陕西电信
CCTV-高尔夫网球,http://36.47.83.11:8014/rtp/239.111.205.73:5140$陕西电信
CCTV-兵器科技,http://36.47.83.11:8014/rtp/239.111.205.74:5140$陕西电信
CCTV-央视文化精品,http://36.47.83.11:8014/rtp/239.111.205.75:5140$陕西电信
