央视节目,#genre#
CCTV-第一剧场,http://ipipip/rtp/239.111.205.65:5140$陕西电信
CCTV-风云剧场,http://ipipip/rtp/239.111.205.66:5140$陕西电信
CCTV-怀旧剧场,http://ipipip/rtp/239.111.205.67:5140$陕西电信
CCTV-风云足球,http://ipipip/rtp/239.111.205.68:5140$陕西电信
CCTV-风云音乐,http://ipipip/rtp/239.111.205.69:5140$陕西电信
CCTV-央视台球,http://ipipip/rtp/239.111.205.70:5140$陕西电信
CCTV-世界地理,http://ipipip/rtp/239.111.205.71:5140$陕西电信
CCTV-女性时尚,http://ipipip/rtp/239.111.205.72:5140$陕西电信
CCTV-高尔夫网球,http://ipipip/rtp/239.111.205.73:5140$陕西电信
CCTV-兵器科技,http://ipipip/rtp/239.111.205.74:5140$陕西电信
CCTV-央视文化精品,http://ipipip/rtp/239.111.205.75:5140$陕西电信

少儿节目,#genre#
金鹰卡通,http://ipipip/rtp/239.112.205.136:5140$陕西电信
优漫卡通,http://ipipip/rtp/239.112.205.185:5140$陕西电信
卡酷少儿,http://ipipip/rtp/239.112.205.138:5140$陕西电信
嘉佳卡通,http://ipipip/rtp/239.112.205.135:5140$陕西电信

电影节目,#genre#
CHC家庭影院,http://ipipip/rtp/239.112.205.205:5140$陕西电信
CHC影迷电影,http://ipipip/rtp/239.112.205.206:5140$陕西电信
CHC动作电影,http://ipipip/rtp/239.112.205.207:5140$陕西电信
