央视节目,#genre#
CCTV-1 综合,http://ipipip/rtp/239.253.92.83:8012$河北联通
CCTV-2 财经,http://ipipip/rtp/239.253.92.190:6065$河北联通
CCTV-3 综艺,http://ipipip/rtp/239.253.92.191:6057$河北联通
CCTV-4 中文国际,http://ipipip/rtp/239.253.92.251:6141$河北联通
CCTV-5 体育,http://ipipip/rtp/239.253.92.181:6046$河北联通
CCTV-6 电影,http://ipipip/rtp/239.253.92.193:6058$河北联通
CCTV-7 国防军事,http://ipipip/rtp/239.253.92.194:6059$河北联通
CCTV-8 电视剧,http://ipipip/rtp/239.253.92.195:6060$河北联通
CCTV-9 纪录,http://ipipip/rtp/239.253.92.107:6020$河北联通
CCTV-10 科教,http://ipipip/rtp/239.253.92.196:6061$河北联通
CCTV-11 戏曲,http://ipipip/rtp/239.253.93.153:6321$河北联通
CCTV-12 社会与法,http://ipipip/rtp/239.253.92.197:6062$河北联通
CCTV-13 新闻,http://ipipip/rtp/239.253.92.13:8008$河北联通
CCTV-14 少儿,http://ipipip/rtp/239.253.92.198:6063$河北联通
CCTV-15 音乐,http://ipipip/rtp/239.253.93.154:6322$河北联通
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://ipipip/rtp/239.253.93.150:6318$河北联通
CCTV-5+ 体育赛事,http://ipipip/rtp/239.253.92.82:8013$河北联通
CCTV-4 中文国际 欧洲,http://ipipip/rtp/239.253.93.192:6370$河北联通
CCTV-4 中文国际 美洲,http://ipipip/rtp/239.253.93.193:6371$河北联通

CCTV-电视指南,http://ipipip/rtp/239.253.93.249:6427$河北联通HD
CCTV-怀旧剧场,http://ipipip/rtp/239.253.93.252:6430$河北联通HD
CCTV-第一剧场,http://ipipip/rtp/239.253.93.138:6428$河北联通HD
CCTV-风云剧场,http://ipipip/rtp/239.253.93.251:6429$河北联通HD
CCTV-兵器科技,http://ipipip/rtp/239.253.93.47:6435$河北联通HD
CCTV-世界地理,http://ipipip/rtp/239.253.92.131:6113$河北联通HD
CCTV-风云音乐,http://ipipip/rtp/239.253.93.253:6431$河北联通HD
CCTV-风云足球,http://ipipip/rtp/239.253.93.254:6432$河北联通HD
CCTV-高尔夫网球,http://ipipip/rtp/239.253.93.122:6465$河北联通HD
CCTV-央视台球,http://ipipip/rtp/239.253.93.231:6409$河北联通HD
CCTV-女性时尚,http://ipipip/rtp/239.253.92.144:6114$河北联通HD
CCTV-央视文化精品,http://ipipip/rtp/239.253.93.175:6439$河北联通HD

CCTV-电视指南,http://ipipip/rtp/239.253.92.17:6078$河北联通
CCTV-第一剧场,http://ipipip/rtp/239.253.92.18:6079$河北联通
CCTV-风云剧场,http://ipipip/rtp/239.253.92.22:6073$河北联通
CCTV-怀旧剧场,http://ipipip/rtp/239.253.92.98:6120$河北联通
CCTV-风云音乐,http://ipipip/rtp/239.253.92.111:8060$河北联通
CCTV-风云足球,http://ipipip/rtp/239.253.92.110:8061$河北联通
CCTV-高尔夫网球,http://ipipip/rtp/239.253.92.117:8062$河北联通
CCTV-兵器科技,http://ipipip/rtp/239.253.92.119:8065$河北联通
CCTV-世界地理,http://ipipip/rtp/239.253.92.113:8066$河北联通
CCTV-女性时尚,http://ipipip/rtp/239.253.92.249:6103$河北联通
CCTV-央视文化精品,http://ipipip/rtp/239.253.92.25:6104$河北联通

卫视节目,#genre#
河南卫视,http://ipipip/rtp/239.253.92.137:6144$河北联通HD
湖南卫视,http://ipipip/rtp/239.253.92.84:8015$河北联通HD
浙江卫视,http://ipipip/rtp/239.253.92.90:8020$河北联通HD
江苏卫视,http://ipipip/rtp/239.253.92.88:8018$河北联通HD
北京卫视,http://ipipip/rtp/239.253.92.87:8014$河北联通HD
东南卫视,http://ipipip/rtp/239.253.92.201:6146$河北联通HD
东方卫视,http://ipipip/rtp/239.253.92.89:8019$河北联通HD
天津卫视,http://ipipip/rtp/239.253.92.91:8021$河北联通HD
深圳卫视,http://ipipip/rtp/239.253.92.86:8017$河北联通HD
山东卫视,http://ipipip/rtp/239.253.92.207:8109$河北联通HD
河北卫视,http://ipipip/rtp/239.253.92.154:6011$河北联通HD
广东卫视,http://ipipip/rtp/239.253.92.206:8108$河北联通HD
黑龙江卫视,http://ipipip/rtp/239.253.92.85:8016$河北联通HD
辽宁卫视,http://ipipip/rtp/239.253.92.115:6056$河北联通HD
安徽卫视,http://ipipip/rtp/239.253.92.209:6566$河北联通HD
湖北卫视,http://ipipip/rtp/239.253.92.210:6567$河北联通HD
四川卫视,http://ipipip/rtp/239.253.92.16:6043$河北联通HD
重庆卫视,http://ipipip/rtp/239.253.92.10:6053$河北联通HD
广西卫视,http://ipipip/rtp/239.253.92.76:8043$河北联通HD
贵州卫视,http://ipipip/rtp/239.253.92.105:6055$河北联通HD
江西卫视,http://ipipip/rtp/239.253.92.19:6145$河北联通HD
吉林卫视,http://ipipip/rtp/239.253.92.202:6147$河北联通HD
海南卫视,http://ipipip/rtp/239.253.93.155:6323$河北联通
兵团卫视,http://ipipip/rtp/239.253.93.176:6344$河北联通
山东教育卫视,http://ipipip/rtp/239.253.92.106:6135$河北联通
CETV-1,http://ipipip/rtp/239.253.92.211:6069$河北联通HD
CETV-2,http://ipipip/rtp/239.253.92.108:6136$河北联通
CETV-4,http://ipipip/rtp/239.253.92.200:6137$河北联通
CETV-早期教育,http://ipipip/rtp/239.253.93.164:6440$河北联通HD
CETV-早期教育,http://ipipip/rtp/239.253.92.39:6107$河北联通

少儿节目,#genre#
金鹰卡通,http://ipipip/rtp/239.253.92.163:8055$河北联通
卡酷少儿,http://ipipip/rtp/239.253.92.162:8054$河北联通
嘉佳卡通,http://ipipip/rtp/239.253.93.203:6381$河北联通
优漫卡通,http://ipipip/rtp/239.253.93.204:6382$河北联通

数字节目,#genre#
求索纪录,http://ipipip/rtp/239.253.93.236:6414$河北联通HD
梨园频道,http://ipipip/rtp/239.253.93.133:6441河北联通HD
梨园频道,http://ipipip/rtp/239.253.92.152:8086$河北联通
文物宝库,http://ipipip/rtp/239.253.93.180:6437$河北联通HD
文物宝库,http://ipipip/rtp/239.253.92.159:8070$河北联通
纪实人文,http://ipipip/rtp/239.253.92.99:6013$河北联通HD
武术世界,http://ipipip/rtp/239.253.93.46:6434$河北联通HD
武术世界,http://ipipip/rtp/239.253.92.141:8064$河北联通
金鹰纪实,http://ipipip/rtp/239.253.92.103:6054$河北联通HD
中华美食,http://ipipip/rtp/239.253.93.248:6426$河北联通HD
游戏风云,http://ipipip/rtp/239.253.93.222:6400$河北联通HD
快乐垂钓,http://ipipip/rtp/239.253.93.213:6391$河北联通HD
动漫秀场,http://ipipip/rtp/239.253.93.225:6403$河北联通HD
生活时尚,http://ipipip/rtp/239.253.93.226:6404$河北联通HD
都市剧场,http://ipipip/rtp/239.253.93.227:6405$河北联通HD
乐游,http://ipipip/rtp/239.253.93.224:6402$河北联通HD
茶频道,http://ipipip/rtp/239.253.93.212:6390$河北联通HD
金色学堂,http://ipipip/rtp/239.253.93.240:6418$河北联通HD
法治天地,http://ipipip/rtp/239.253.93.241:6419$河北联通HD
中国交通(河北),http://ipipip/rtp/239.253.93.189:6357$河北联通
环球奇观,http://ipipip/rtp/239.253.92.130:8069$河北联通
国学,http://ipipip/rtp/239.253.92.158:8071$河北联通
汽摩,http://ipipip/rtp/239.253.92.46:6110$河北联通
书画,http://ipipip/rtp/239.253.93.214:6392$河北联通
摄影,http://ipipip/rtp/239.253.93.215:6393$河北联通
中学生,http://ipipip/rtp/239.253.92.27:6106$河北联通
老故事,http://ipipip/rtp/239.253.92.132:8068$河北联通
先锋乒羽,http://ipipip/rtp/239.253.93.219:6397$河北联通
发现之旅,http://ipipip/rtp/239.253.94.30:6629$河北联通
环球旅游,http://ipipip/rtp/239.253.93.220:6398$河北联通
车迷频道,http://ipipip/rtp/239.253.93.221:6399$河北联通
天元围棋,http://ipipip/rtp/239.253.93.211:6389$河北联通
东方财经,http://ipipip/rtp/239.253.93.239:6417$河北联通
中华特产,http://ipipip/rtp/239.253.93.242:6420$河北联通
四海钓鱼,http://ipipip/rtp/239.253.93.243:6421$河北联通
优优宝贝,http://ipipip/rtp/239.253.93.244:6422$河北联通
生态环境,http://ipipip/rtp/239.253.93.245:6423$河北联通
欢笑剧场4K,http://ipipip/rtp/239.253.93.223:6401$河北联通
九屏直播,http://ipipip/rtp/239.253.92.203:6150$河北联通
