河南节目,#genre#
河南IPTV导视,http://ipipip/rtp/239.16.10.218:2000$河南电信
河南卫视,http://ipipip/rtp/239.16.20.21:10210$河南电信
河南卫视,http://ipipip/rtp/239.16.20.199:11990$河南电信4K
河南都市频道,http://ipipip/rtp/239.16.20.164:11640$河南电信
河南民生频道,http://ipipip/rtp/239.16.20.165:11650$河南电信
河南法治频道,http://ipipip/rtp/239.16.20.166:11660$河南电信
河南电视剧频道,http://ipipip/rtp/239.16.20.167:11670$河南电信
河南新闻频道,http://ipipip/rtp/239.16.20.168:11680$河南电信
河南公共频道,http://ipipip/rtp/239.16.20.170:11700$河南电信
河南乡村频道,http://ipipip/rtp/239.16.20.195:11950$河南电信
河南国际频道,http://ipipip/rtp/239.16.20.196:11960$河南电信
河南移动戏曲,http://ipipip/rtp/239.16.20.120:11200$河南电信
河南睛彩中原,http://ipipip/rtp/239.16.20.122:11220$河南电信
河南调解剧场,http://ipipip/rtp/239.16.20.197:11970$河南电信
河南移动电视,http://ipipip/rtp/239.16.20.204:12040$河南电信
河南戏曲,http://ipipip/rtp/239.16.20.171:11710$河南电信
收藏天下,http://ipipip/rtp/239.16.20.172:11720$河南电信
中华功夫,http://ipipip/rtp/239.16.20.173:11730$河南电信
大美河南,http://ipipip/rtp/239.16.20.17:10170$河南电信
大美河南,http://ipipip/rtp/239.16.20.243:12430$河南电信
