央视节目,#genre#
CCTV-1 综合,http://ipipip/udp/239.76.245.51:1234$湖南电信
CCTV-1 综合,http://ipipip/udp/239.76.246.151:1234$湖南电信
CCTV-2 财经,http://ipipip/udp/239.76.246.152:1234$湖南电信
CCTV-3 综艺,http://ipipip/udp/239.76.246.153:1234$湖南电信
CCTV-4 中文国际,http://ipipip/udp/239.76.245.195:1234$湖南电信
CCTV-4 中文国际,http://ipipip/udp/239.76.246.154:1234$湖南电信
CCTV-5 体育,http://ipipip/udp/239.76.246.155:1234$湖南电信
CCTV-6 电影,http://ipipip/udp/239.76.246.156:1234$湖南电信
CCTV-7 国防军事,http://ipipip/udp/239.76.246.157:1234$湖南电信
CCTV-8 电视剧,http://ipipip/udp/239.76.246.158:1234$湖南电信
CCTV-9 纪录,http://ipipip/udp/239.76.246.159:1234$湖南电信
CCTV-10 科教,http://ipipip/udp/239.76.246.160:1234$湖南电信
CCTV-11 戏曲,http://ipipip/udp/239.76.245.251:1234$湖南电信
CCTV-12 社会与法,http://ipipip/udp/239.76.246.162:1234$湖南电信
CCTV-13 新闻,http://ipipip/udp/239.76.246.93:1234$湖南电信
CCTV-14 少儿,http://ipipip/udp/239.76.246.164:1234$湖南电信
CCTV-15 音乐,http://ipipip/udp/239.76.245.252:1234$湖南电信
CCTV-16 奥林匹克,http://ipipip/udp/239.76.246.98:1234$湖南电信
CCTV-17 农业农村,http://ipipip/udp/239.76.245.238:1234$湖南电信
CCTV-5+ 体育赛事,http://ipipip/udp/239.76.246.168:1234$湖南电信
CCTV-16 奥林匹克,http://ipipip/udp/239.76.246.214:1234$湖南电信4K
CCTV-16 奥林匹克,http://ipipip/udp/239.76.246.224:1234$湖南电信4K
CCTV-16 奥林匹克,http://ipipip/udp/239.76.246.230:1234$湖南电信4kHDR
CCTV-4 中文国际 欧洲,http://ipipip/udp/239.76.246.95:1234$湖南电信
CCTV-4 中文国际 美洲,http://ipipip/udp/239.76.246.96:1234$湖南电信

CCTV-1 综合,http://ipipip/udp/239.76.253.151:9000$湖南电信
CCTV-2 财经,http://ipipip/udp/239.76.253.152:9000$湖南电信
CCTV-3 综艺,http://ipipip/udp/239.76.253.153:9000$湖南电信
CCTV-4 中文国际,http://ipipip/udp/239.76.253.154:9000$湖南电信
CCTV-5 体育,http://ipipip/udp/239.76.253.155:9000$湖南电信
CCTV-5+ 体育赛事,http://ipipip/udp/239.76.253.168:9000$湖南电信
CCTV-6 电影,http://ipipip/udp/239.76.253.156:9000$湖南电信
CCTV-7 国防军事,http://ipipip/udp/239.76.253.157:9000$湖南电信
CCTV-8 电视剧,http://ipipip/udp/239.76.253.158:9000$湖南电信
CCTV-9 纪录,http://ipipip/udp/239.76.253.159:9000$湖南电信
CCTV-10 科教,http://ipipip/udp/239.76.253.160:9000$湖南电信
CCTV-12 社会与法,http://ipipip/udp/239.76.253.162:9000$湖南电信
CCTV-13 新闻,http://ipipip/udp/239.76.253.93:9000$湖南电信
CCTV-14 少儿,http://ipipip/udp/239.76.253.164:9000$湖南电信
CCTV-16 奥林匹克,http://ipipip/udp/239.76.253.98:9000$湖南电信HD
CCTV-16 奥林匹克,http://ipipip/udp/239.76.253.214:9000$湖南电信4K
CCTV-16 奥林匹克,http://ipipip/udp/239.76.254.200:9000$湖南电信4K
CCTV-16 奥林匹克,http://ipipip/udp/239.76.253.224:9000$湖南电信4K
CCTV-16 奥林匹克,http://ipipip/udp/239.76.253.230:9000$湖南电信4K
CCTV-4 中文国际 美洲,http://ipipip/udp/239.76.253.96:9000$湖南电信
CCTV-4 中文国际 欧洲,http://ipipip/udp/239.76.253.95:9000$湖南电信

卫视节目,#genre#
河南卫视,http://ipipip/udp/239.76.246.202:1234$湖南电信
湖南卫视,http://ipipip/udp/239.76.246.101:1234$湖南电信
广东卫视,http://ipipip/udp/239.76.245.189:1234$湖南电信
东南卫视,http://ipipip/udp/239.76.245.190:1234$湖南电信
安徽卫视,http://ipipip/udp/239.76.245.196:1234$湖南电信
辽宁卫视,http://ipipip/udp/239.76.245.197:1234$湖南电信
江西卫视,http://ipipip/udp/239.76.245.225:1234$湖南电信
河北卫视,http://ipipip/udp/239.76.245.199:1234$湖南电信
贵州卫视,http://ipipip/udp/239.76.245.198:1234$湖南电信
江苏卫视,http://ipipip/udp/239.76.246.181:1234$湖南电信
东方卫视,http://ipipip/udp/239.76.246.186:1234$湖南电信
浙江卫视,http://ipipip/udp/239.76.246.182:1234$湖南电信
北京卫视,http://ipipip/udp/239.76.246.184:1234$湖南电信
天津卫视,http://ipipip/udp/239.76.246.185:1234$湖南电信
深圳卫视,http://ipipip/udp/239.76.246.188:1234$湖南电信
湖北卫视,http://ipipip/udp/239.76.246.193:1234$湖南电信
山东卫视,http://ipipip/udp/239.76.246.195:1234$湖南电信
黑龙江卫视,http://ipipip/udp/239.76.246.200:1234$湖南电信
吉林卫视,http://ipipip/udp/239.76.246.201:1234$湖南电信
海南卫视,http://ipipip/udp/239.76.246.203:1234$湖南电信
四川卫视,http://ipipip/udp/239.76.246.91:1234$湖南电信
重庆卫视,http://ipipip/udp/239.76.246.92:1234$湖南电信
甘肃卫视,http://ipipip/udp/239.76.246.94:1234$湖南电信
CETV-1,http://ipipip/udp/239.76.245.192:1234$湖南电信

湖南卫视,http://ipipip/udp/239.76.253.101:9000$湖南电信
江苏卫视,http://ipipip/udp/239.76.253.181:9000$湖南电信
浙江卫视,http://ipipip/udp/239.76.253.182:9000$湖南电信
北京卫视,http://ipipip/udp/239.76.253.184:9000$湖南电信
天津卫视,http://ipipip/udp/239.76.253.185:9000$湖南电信
东方卫视,http://ipipip/udp/239.76.253.186:9000$湖南电信
深圳卫视,http://ipipip/udp/239.76.253.188:9000$湖南电信
湖北卫视,http://ipipip/udp/239.76.253.193:9000$湖南电信
山东卫视,http://ipipip/udp/239.76.253.195:9000$湖南电信
黑龙江卫视,http://ipipip/udp/239.76.253.200:9000$湖南电信
吉林卫视,http://ipipip/udp/239.76.253.201:9000$湖南电信
河南卫视,http://ipipip/udp/239.76.253.202:9000$湖南电信
海南卫视,http://ipipip/udp/239.76.253.203:9000$湖南电信
四川卫视,http://ipipip/udp/239.76.253.91:9000$湖南电信
重庆卫视,http://ipipip/udp/239.76.253.92:9000$湖南电信
广西卫视,http://ipipip/udp/239.76.254.54:9000$湖南电信
陕西卫视,http://ipipip/udp/239.76.254.76:9000$湖南电信
云南卫视,http://ipipip/udp/239.76.254.60:9000$湖南电信
青海卫视,http://ipipip/udp/239.76.254.132:9000$湖南电信
甘肃卫视,http://ipipip/udp/239.76.253.94:9000$湖南电信
广东卫视,http://ipipip/udp/239.76.252.189:9000$湖南电信
东南卫视,http://ipipip/udp/239.76.252.190:9000$湖南电信
安徽卫视,http://ipipip/udp/239.76.252.196:9000$湖南电信
辽宁卫视,http://ipipip/udp/239.76.252.197:9000$湖南电信
河北卫视,http://ipipip/udp/239.76.252.199:9000$湖南电信
贵州卫视,http://ipipip/udp/239.76.252.198:9000$湖南电信
CETV-1,http://ipipip/udp/239.76.252.192:9000$湖南电信

少儿节目,#genre#


电影节目,#genre#
CHC动作电影,http://ipipip/udp/239.76.245.243:1234$湖南电信
CHC影迷电影,http://ipipip/udp/239.76.245.242:1234$湖南电信
CHC家庭影院,http://ipipip/udp/239.76.245.241:1234$湖南电信

数字节目,#genre#
凤凰卫视资讯台,http://ipipip/udp/239.76.246.8:1234$湖南电信
凤凰卫视中文台,http://ipipip/udp/239.76.246.7:1234$湖南电信
凤凰卫视中文台,http://ipipip/udp/239.76.246.134:1234$湖南电信
凤凰卫视中文台,http://ipipip/udp/239.76.253.135:9000$湖南电信
凤凰卫视资讯台,http://ipipip/udp/239.76.253.134:9000$湖南电信
凤凰卫视资讯台,http://ipipip/udp/239.76.246.135:1234$湖南电信
凤凰卫视中文台,http://ipipip/udp/239.76.253.135:9000$湖南电信
凤凰卫视资讯台,http://ipipip/udp/239.76.253.134:9000$湖南电信

