央视节目,#genre#
CCTV-1 综合,http://ipipip/rtp/239.112.205.59:5140$陕西电信
CCTV-2 财经,http://ipipip/rtp/239.112.205.78:5140$陕西电信
CCTV-3 综艺,http://ipipip/rtp/239.112.205.221:5140$陕西电信
CCTV-4 中文国际,http://ipipip/rtp/239.112.205.202:5140$陕西电信
CCTV-5 体育,http://ipipip/rtp/239.112.205.222:5140$陕西电信
CCTV-5+ 体育赛事,http://ipipip/rtp/239.111.205.13:5140$陕西电信
CCTV-6 电影,http://ipipip/rtp/239.112.205.223:5140$陕西电信
CCTV-7 国防军事,http://ipipip/rtp/239.112.205.83:5140$陕西电信
CCTV-8 电视剧,http://ipipip/rtp/239.112.205.224:5140$陕西电信
CCTV-9 纪录,http://ipipip/rtp/239.112.205.85:5140$陕西电信
CCTV-10 科教,http://ipipip/rtp/239.112.205.86:5140$陕西电信
CCTV-11 戏曲,http://ipipip/rtp/239.112.205.213:5140$陕西电信
CCTV-12 社会与法,http://ipipip/rtp/239.112.205.88:5140$陕西电信
CCTV-14 少儿,http://ipipip/rtp/239.112.205.91:5140$陕西电信
CCTV-15 音乐,http://ipipip/rtp/239.112.205.214:5140$陕西电信
CCTV-16 奥林匹克,http://ipipip/rtp/239.111.205.134:5140$陕西电信
CCTV-17 农业农村,http://ipipip/rtp/239.112.205.211:5140$陕西电信
CGTN,http://ipipip/rtp/239.111.205.32:5140$陕西电信
CGTN西语,http://ipipip/rtp/239.111.205.33:5140$陕西电信
CGTN法语,http://ipipip/rtp/239.111.205.34:5140$陕西电信

CCTV-第一剧场,http://ipipip/rtp/239.111.205.65:5140$陕西电信
CCTV-风云剧场,http://ipipip/rtp/239.111.205.66:5140$陕西电信
CCTV-怀旧剧场,http://ipipip/rtp/239.111.205.67:5140$陕西电信
CCTV-风云足球,http://ipipip/rtp/239.111.205.68:5140$陕西电信
CCTV-风云音乐,http://ipipip/rtp/239.111.205.69:5140$陕西电信
CCTV-央视台球,http://ipipip/rtp/239.111.205.70:5140$陕西电信
CCTV-世界地理,http://ipipip/rtp/239.111.205.71:5140$陕西电信
CCTV-女性时尚,http://ipipip/rtp/239.111.205.72:5140$陕西电信
CCTV-高尔夫网球,http://ipipip/rtp/239.111.205.73:5140$陕西电信
CCTV-兵器科技,http://ipipip/rtp/239.111.205.74:5140$陕西电信
CCTV-央视文化精品,http://ipipip/rtp/239.111.205.75:5140$陕西电信

卫视节目,#genre#
河南卫视,http://ipipip/rtp/239.112.205.180:5140$陕西电信
东方卫视,http://ipipip/rtp/239.112.205.61:5140$陕西电信
