央视节目,#genre#
CCTV-1 综合,http://ipipip/udp/239.93.0.184:5140$四川电信
CCTV-2 财经,http://ipipip/udp/239.93.1.23:6000$四川电信
CCTV-3 综艺,http://ipipip/udp/239.93.1.11:2223$四川电信
CCTV-4 中文国际,http://ipipip/udp/239.93.1.105:5140$四川电信
CCTV-5 体育,http://ipipip/udp/239.93.42.37:5140$四川电信
CCTV-6 电影,http://ipipip/udp/239.93.1.13:2226$四川电信
CCTV-7 国防军事,http://ipipip/udp/239.93.1.67:5140$四川电信
CCTV-8 电视剧,http://ipipip/udp/239.93.42.39:5140$四川电信
CCTV-9 纪录,http://ipipip/udp/239.93.1.24:5140$四川电信
CCTV-10 科教,http://ipipip/udp/239.93.1.28:5140$四川电信
CCTV-11 戏曲,http://ipipip/udp/239.93.0.102:5140$四川电信
CCTV-12 社会与法,http://ipipip/udp/239.93.1.30:8124$四川电信
CCTV-13 新闻,http://ipipip/udp/239.93.0.66:5140$四川电信
CCTV-14 少儿,http://ipipip/udp/239.93.1.29:6000$四川电信
CCTV-15 音乐,http://ipipip/udp/239.93.0.103:5140$四川电信
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$移动
CCTV-17 农业农村,http://ipipip/udp/239.93.0.92:5140$四川电信
CCTV-5+ 体育赛事,http://ipipip/udp/239.93.1.36:8004$四川电信

卫视节目,#genre#
河南卫视,http://ipipip/udp/239.93.42.45:5140$四川电信
湖南卫视,http://ipipip/udp/239.93.0.88:5140$四川电信
江苏卫视,http://ipipip/udp/239.93.0.89:5140$四川电信
浙江卫视,http://ipipip/udp/239.93.0.124:5140$四川电信
东方卫视,http://ipipip/udp/239.93.0.123:5140$四川电信
北京卫视,http://ipipip/udp/239.93.0.180:5140$四川电信
深圳卫视,http://ipipip/udp/239.93.0.182:5140$四川电信
广东卫视,http://ipipip/udp/239.93.0.181:5140$四川电信
天津卫视,http://ipipip/udp/239.93.0.167:5140$四川电信
山东卫视,http://ipipip/udp/239.93.0.168:5140$四川电信
四川卫视,http://ipipip/udp/239.93.0.169:5140$四川电信
四川卫视,http://ipipip/udp/239.93.1.188:5140$四川电信
四川卫视,http://ipipip/udp/239.93.0.20:1235$四川电信
江西卫视,http://ipipip/udp/239.93.0.134:5140$四川电信
东南卫视,http://ipipip/udp/239.93.0.42:5140$四川电信
黑龙江卫视,http://ipipip/udp/239.93.0.183:5140$四川电信
重庆卫视,http://ipipip/udp/239.93.1.107:5140$四川电信
贵州卫视,http://ipipip/udp/239.93.0.131:5140$四川电信
湖北卫视,http://ipipip/udp/239.93.0.250:5140$四川电信
安徽卫视,http://ipipip/udp/239.93.1.106:5140$四川电信
河北卫视,http://ipipip/udp/239.93.0.132:5140$四川电信
辽宁卫视,http://ipipip/udp/239.93.1.108:5140$四川电信
云南卫视,http://ipipip/udp/239.93.1.174:5140$四川电信
广西卫视,http://ipipip/udp/239.93.42.46:5140$四川电信
云南卫视,http://ipipip/udp/239.93.0.174:5140$四川电信
吉林卫视,http://ipipip/udp/239.93.0.248:5140$四川电信
陕西卫视,http://ipipip/udp/239.93.0.176:5140$四川电信
山西卫视,http://ipipip/udp/239.93.0.6:5140$四川电信
内蒙古卫视,http://ipipip/udp/239.93.0.8:5140$四川电信
青海卫视,http://ipipip/udp/239.93.0.192:5140$四川电信
宁夏卫视,http://ipipip/udp/239.93.0.247:5140$四川电信
西藏卫视,http://ipipip/udp/239.93.0.175:5140$四川电信
新疆卫视,http://ipipip/udp/239.93.0.194:5140$四川电信
甘肃卫视,http://ipipip/udp/239.93.0.81:5140$四川电信
海南卫视,http://ipipip/udp/239.93.0.80:5140$四川电信
陕西农林,http://ipipip/udp/239.93.0.100:5140$四川电信
兵团卫视,http://ipipip/udp/239.93.42.43:5140$四川电信
厦门卫视,http://ipipip/udp/239.93.42.57:5140$四川电信
三沙卫视,http://ipipip/udp/239.93.42.58:5140$四川电信
山东教育卫视,http://ipipip/udp/239.93.1.196:5140$四川电信
康巴卫视,http://ipipip/udp/239.93.0.41:5140$四川电信
CETV-1,http://ipipip/udp/239.93.1.111:5140$四川电信
CETV-2,http://ipipip/udp/239.93.0.113:5140$四川电信
